data,observado,arimax,xgb,svr,ensemble_0p7svr_0p3arimax
2024-06-01,3.75,3.689506714523256,3.7131125926971436,3.8291522354695426,3.7872585791856563
2024-07-01,3.7,3.661410559311546,3.6613075733184814,3.8161996173394437,3.7697628999310737
2024-08-01,3.66,3.664510036928909,3.6497652530670166,3.8321495834032335,3.7818577194609357
2024-09-01,3.54,3.66871918893527,3.6557531356811523,3.843506740924097,3.791070475327449
2024-10-01,3.78,3.661357232274881,3.652278423309326,3.8307029931805454,3.7798992649088454
2024-11-01,3.85,3.6695323311414096,3.6322104930877686,3.819123266907089,3.774245986177385
2024-12-01,3.91,3.698493089549504,3.726743221282959,3.81707610118326,3.781501197693133
2025-01-01,4.13,3.7589745047385024,3.7127838134765625,3.795298556963147,3.7844013412957533
2025-02-01,4.24,3.786117460670067,3.7380831241607666,3.8396830429503943,3.8236133682662956
2025-03-01,4.28,3.8499336643460547,3.826646327972412,3.9244425885706007,3.9020899113032366
2025-04-01,4.55,3.917780534494994,3.8486173152923584,4.01218954883196,3.98386684453087
2025-05-01,4.78,3.9803460363600807,4.135613918304443,4.12385622642946,4.080803169408646
